City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,marystown,47.1666,-55.1483,-0.64,100,95,5.36,CA,1680539287
84,yanam,16.7333,82.2167,26.97,84,94,1.68,IN,1680539741
85,ribeira grande,38.5167,-28.7,17.22,63,20,6.17,PT,1680539741
86,kankaanpaa,61.8,22.4167,0.42,87,67,1.47,FI,1680539287
87,meulaboh,4.1363,96.1285,25.11,85,98,1.83,ID,1680539741
88,otjimbingwe,-22.35,16.1333,32.36,16,13,8.78,NA,1680539287
89,tilichiki,60.4667,166.1,-10.64,95,100,4.51,RU,1680539741
90,krizevci,46.0219,16.5425,7.77,49,76,7.69,HR,1680539287
91,boali,4.8005,18.1275,35.98,28,92,2.62,CF,1680539288
92,moose factory,51.2585,-80.6094,-8.0,57,20,7.2,CA,1680539742
93,san patricio,28.017,-97.5169,29.53,50,65,7.16,US,1680539742
94,bluff,-46.6,168.3333,13.69,78,68,7.08,NZ,1680539742
95,byron bay,-28.65,153.6167,18.17,94,61,4.87,AU,1680539717
96,xichang,27.8964,102.2634,14.52,44,27,1.9,CN,1680539288
97,barcelona,41.3888,2.159,18.99,63,0,4.63,ES,1680539257
98,chepareria,1.3077,35.2039,18.03,82,61,1.91,KE,1680539288
99,kapoeta,4.7717,33.5903,29.81,41,77,6.54,SS,1680539288
100,saint-francois,46.4154,3.9054,6.69,81,100,5.14,FR,1680539288
101,beloha,-25.1667,45.05,23.2,85,47,6.22,MG,1680539742
102,dalvik,65.9702,-18.5286,6.96,99,100,3.92,IS,1680539289
103,dawson creek,55.7666,-120.2362,-5.2,86,0,0.0,CA,1680539025
104,nanortalik,60.1432,-45.2371,2.83,87,100,2.11,GL,1680539742
105,olafsvik,64.8945,-23.7142,5.23,90,100,9.84,IS,1680539742
106,port elizabeth,-33.918,25.5701,19.16,87,20,12.35,ZA,1680539697
107,puerto ayora,-0.7393,-90.3518,30.98,88,62,2.24,EC,1680539742
